 , Total, 15 a 19 años, 20 a 29 años, 30 a 39 años, 40 a 49 años, 50 a 59 años, 60 años y más, No especificado
 Segundo trimestre del 2016, 50690910|0.423331883136972|214590.783882267|, 3012433|1.68552400987128|50775.2814962858|, 11703121|0.871663857046836|102011.875903458|, 12296026|0.840983435479673|103407.541882274|, 11401466|0.781944407096904|89153.1257140552|, 7620879|0.984404994010495|75020.313463497|, 4630192|1.33398929659075|61766.2656916012|, 26793|17.5436131173084|4700.46026252043|
,,,,,,,,
 Primer trimestre del 2016, 50029049|0.433343230380213|216797.4970651|, 2994425|1.71925719366144|51481.8672212967|, 11470429|0.884071463004586|101406.789473202|, 12221188|0.827102909088331|101081.801473154|, 11305922|0.789004549060887|89204.2388932756|, 7512727|1.02403784323311|76933.1675387917|, 4502656|1.32798605683241|59794.6438671281|, 21702|16.1253644103851|3499.52658434178|
,,,,,,,,
 Cuarto trimestre del 2015, 50793533|0.423500674660724|215110.954939017|, 3289435|1.66342071030389|54717.1430419849|, 11742174|0.870973626932186|102271.238768488|, 12384356|0.807469971260029|99999.9558339397|, 11287945|0.792257034934971|89429.5383620903|, 7445840|0.991121989123842|73797.3575149787|, 4619099|1.34107075086659|61945.3856425711|, 24684|14.8754423489394|3671.85418941221|
,,,,,,,,
 Tercer trimestre del 2015, 49963931|0.414370892392443|207035.986759045|, 3161609|1.6077495492859|50830.7544476823|, 11585739|0.875375954181089|101418.773320181|, 12070493|0.789857358179101|95339.6771289933|, 11045414|0.805487341637555|88969.4116014623|, 7459249|0.99340202747807|74100.3308006377|, 4616654|1.35952013828903|62764.3408451259|, 24773|16.7628228792607|4152.65411187925|
,,,,,,,,
 Segundo trimestre del 2015, 49548568|0.42123905643628|208717.920320888|, 3035613|1.70203956781441|51667.334385718|, 11422814|0.887075413513993|101328.974525434|, 12171292|0.809218066509597|98492.2937916373|, 11026332|0.808580592421182|89156.7806079263|, 7389909|0.989319396903755|73109.8031505363|, 4472926|1.33648140167855|59779.8241008445|, 29682|18.6912544599837|5547.93814881235|
,,,,,,,,
 Primer trimestre del 2015, 49007988|0.433540315830752|212469.385957497|, 2947969|1.77033900128332|52189.0449527418|, 11360922|0.860405741677365|97750.0251954869|, 11953412|0.815006277398511|97421.0581633069|, 11010489|0.82516379901946|90854.5693230197|, 7333599|1.02068892590301|74853.2328631342|, 4377096|1.40807182339299|61632.6554588617|, 24501|21.5949371874238|5290.9755602907|
,,,,,,,,
 Cuarto trimestre del 2014, 49026174|0.429523534140686|210578.955218762|, 3065240|1.65301693376424|50668.936260515|, 11416393|0.880877914542854|100564.484574416|, 11851779|0.809352053057684|95922.6166603594|, 11065428|0.812935075545431|89954.7454712253|, 7320079|1.02226034472253|74830.2648193616|, 4278431|1.3689675635966|58570.3326208615|, 28824|20.8015848601404|5995.84882008687|
,,,,,,,,
 Tercer trimestre del 2014, 48664784|0.447781953997039|217912.120703638|, 3176359|1.61816874187292|51398.8484676672|, 11365611|0.902938136857929|102624.43620592|, 11645085|0.814298081357039|94825.7037273964|, 10931203|0.840079485113267|91830.793879086|, 7272797|1.03372315455996|75180.586573142|, 4251462|1.50176675930114|63847.0431003194|, 22267|28.443638504433|6333.54498578209|
,,,,,,,,
 Segundo trimestre del 2014, 48505094|0.434592994049279|210799.740281017|, 3031139|1.65708143976077|50228.4417823504|, 11381836|0.892988773536612|101638.517702349|, 11879018|0.817621836657556|97125.4451484817|, 10826103|0.824145475950498|89222.8380962412|, 7164732|1.04016519595036|74525.0486471178|, 4198690|1.41996177500929|59619.7930511376|, 23576|26.461174108364|6238.4864077879|
,,,,,,,,
 Primer trimestre del 2014, 48272319|0.44254640048176|213627.410163573|, 3056861|1.70973693752606|52264.2816458285|, 11365587|0.911967086889343|103650.412671774|, 11832492|0.809671750259662|95804.3450757345|, 10815196|0.845810698110883|91476.0847896603|, 7123340|1.03913179618393|74020.8908902884|, 4058541|1.48732638825652|60363.7512712099|, 20302|20.3986640582835|4141.33677711272|
,,,,,,,,
 Cuarto trimestre del 2013, 49118670|0.473120847339916|232390.667706097|, 3295202|1.59184619899684|52454.5477862678|, 11683077|0.910867384205349|106417.337864597|, 11933822|0.850476824794247|101494.390422197|, 10915317|0.837700627862377|91437.6790421687|, 7080826|1.07387054268293|76038.9045926341|, 4190313|1.3927800519154|58361.8435768177|, 20113|19.6949627400726|3961.24785591081|
,,,,,,,,
 Tercer trimestre del 2013, 48499708|0.521550286894094|252950.366216798|, 3336532|1.61776564212626|53977.2683345482|, 11521818|0.926390899001332|106737.073351497|, 11669784|0.878892380893309|102564.842442706|, 10688498|0.896955569797062|95871.0781386476|, 7096251|1.10104418892428|78132.8592669812|, 4170097|1.42233074813131|59312.5718579012|, 16728|17.8445159004361|2985.03061982495|
,,,,,,,,
 Segundo trimestre del 2013, 48481214|0.531363246587068|257611.352695224|, 3326440|1.68845497016398|56165.4415095228|, 11516259|0.94884081133887|109270.965331486|, 11870961|0.899012840628286|106721.463695976|, 10550450|0.898093413837354|94752.8965802031|, 7115477|1.09416404475497|77854.9909468094|, 4080683|1.42724593575924|58241.3822687181|, 20944|17.5303519323202|3671.55690870514|
,,,,,,,,
 Primer trimestre del 2013, 47548734|0.553252799797666|263064.702123345|, 3133523|1.67550639039071|52502.3781093628|, 11343708|0.970718061952413|110115.422451141|, 11600987|0.929634718792529|107846.802874608|, 10427311|0.929773684139384|96950.3936413712|, 7023935|1.14807364290547|80639.9464298124|, 4001311|1.49108185629768|59662.8223350431|, 17959|25.9641505269353|4662.90179313232|
,,,,,,,,
 Cuarto trimestre del 2012, 47994737|0.522206197275712|250631.490980179|, 3403981|1.68284816807532|57283.8319001319|, 11533264|0.936652878454657|108026.649235775|, 11595957|0.947493337589139|109870.920004701|, 10360496|0.902128648731257|93465.002566656|, 6986756|1.17469126905593|82072.8127222417|, 4100377|1.46974122926376|60264.9313242485|, 13906|21.4135382001507|2977.76662211295|
,,,,,,,,
 Tercer trimestre del 2012, 48447625|0.496684527579397|240631.857354688|, 3643574|1.66900177267931|60811.3146488824|, 11609854|0.951351250763781|110450.491240849|, 11642596|0.939486766115648|109380.64865231|, 10405627|0.891077580988462|92722.2093582822|, 6981163|1.14482963070923|79922.4225921094|, 4143969|1.48373539893902|61485.5349740592|, 20842|19.7239819988346|4110.87232819711|
,,,,,,,,
 Segundo trimestre del 2012, 48174670|0.497634764540605|239733.905622714|, 3560753|1.69881443133037|60490.5858280291|, 11529964|0.93840716996753|108198.008870675|, 11721353|0.925560333921122|108488.193966873|, 10322218|0.901010699355237|93004.2885907722|, 6938719|1.16370610758044|80746.2967908445|, 4083575|1.46680812149055|59898.2097471577|, 18088|19.1919278368649|3471.43590713212|
,,,,,,,,
 Primer trimestre del 2012, 46928200|0.503360613026219|236218.07520217|, 3330259|1.78966419084825|59600.4527855009|, 11235335|0.97794086126773|109874.931865315|, 11462183|0.904886851825783|103719.78689921|, 10190783|0.893121414506577|91016.0652788958|, 6719662|1.11944658918966|75223.0270640736|, 3971297|1.489041326786|59134.2535394127|, 18681|19.9451525632808|3725.95395034649|
,,,,,,,,
 Cuarto trimestre del 2011, 47495234|0.500463375774721|237696.251408503|, 3739919|1.66635277405571|62320.2440039364|, 11484065|0.9676691934026|111127.75915533|, 11488784|0.91890190855171|105570.655445383|, 10208157|0.906613033115132|92548.4818028546|, 6636402|1.14367868470374|75899.1151052528|, 3917147|1.49899969272727|58718.0214936755|, 20760|19.7834592935011|4107.04614933083|
,,,,,,,,
 Tercer trimestre del 2011, 46571990|0.496773271833134|231357.1984808|, 3470930|1.65875570169653|57574.2492768954|, 11295623|0.971436667856556|109729.823684839|, 11309901|0.93274216005029|105492.214886949|, 10005264|0.94629500182759|94679.3131516552|, 6573427|1.14872887370129|75510.8539406766|, 3897366|1.50164407328674|58524.5655532926|, 19479|19.3334204555633|3765.95697053918|
,,,,,,,,
 Segundo trimestre del 2011, 46115690|0.497824848543146|229575.363897127|, 3402906|1.71963187420321|58517.4562251734|, 11219799|0.954851934418754|107132.467789396|, 11308420|0.923495962800188|104432.802156489|, 9921982|0.916559712328558|90940.8896764913|, 6405513|1.14335813314072|73237.9538548863|, 3834422|1.52643768105124|58530.0622585185|, 22648|19.7097653844396|4463.86766426789|
,,,,,,,,
 Primer trimestre del 2011, 45254856|0.504801855506182|228447.352794651|, 3272340|1.67486109605673|54807.1495907027|, 11015154|0.98296464749326|108275.06968694|, 11197547|0.933560105682905|104535.831607093|, 9812509|0.913868290548989|89673.4082582657|, 6240490|1.11177938581657|69380.4813939445|, 3698620|1.54038324738345|56972.9228643739|, 18196|19.3952035824154|3529.1512438563|
,,,,,,,,
 Cuarto trimestre del 2010, 45166962|0.501401831521319|226467.974710538|, 3444021|1.58530262922985|54598.1554642281|, 11012741|0.965723581677355|106352.636826051|, 11179742|0.907369199266772|101441.535465491|, 9728067|0.922856914842396|89776.1389900012|, 6107765|1.10318038398563|67379.6653799399|, 3674803|1.53720787018008|56489.3609296136|, 19823|19.5300672696917|3871.44523487099|
,,,,,,,,
