state_ut,stud_marks_mean,stud_marks_median,stud_marks_std,school_bwr,school_comp,school_med,school_digilib,school_water,school_elec,school_func_bwr,school_func_water,school_func_elec,school_func_gwr,school_gwr,school_wash,schoool_internet,school_kg,school_lib,school_play,school_ptr,school_rwhs,school_ramp,school_r&h,school_cwsn,school_solar,school_func_comp,bse_clients,ut_num_districts,ut_rolledout_districts,num_launched_eservices,eservices_per_district,ut_rolledout_districts%,total_population,pop_on_Aadhaar,pop_on_Aadhaar%
Gujarat,245.13916843981826,197.0,165.27224392624342,0.9595736383725464,0.2075356075096098,0.8263541995506118,0.0250134630740376,0.9997214536406008,0.999591465339548,0.940911032292808,0.999312918980149,0.9995728955822548,0.9573638372546472,0.971829678186106,0.9672986574065476,0.9196115206774248,0.4239289892481105,0.9599264637611188,0.8824162968190006,0.0005756624760914,0.222558541159867,0.8194091103229281,0.593025199160647,0.3493342742010362,0.0550221908599654,0.2030974355165178,19501064,33.0,33.0,298.0,9.030303030303031,1.0,71507000,65166810,0.911334694505433
Haryana,261.3565439300036,215.0,177.72278483607633,0.9342493467082524,0.2861839332377981,0.6258956419118267,0.028871280451825,0.997639720138245,0.9914018376464638,0.9280114642164714,0.994900109584422,0.97820955913344,0.9533001770209896,0.9600859816235352,0.9946050746017028,0.5124336171288881,0.3505858551799713,0.970496501728062,0.8985501137992076,0.0010536963668549,0.3090702183258872,0.7264604231644609,0.4586108067099385,0.4377476186462109,0.1642923375200202,0.2807047121301526,7117029,22.0,22.0,549.0,24.954545454545453,1.0,30209000,30038583,0.9943587341520739
Himachal Pradesh,225.68563785144775,183.0,153.91253969390283,0.9829154648324828,0.1492123363656534,0.1945861992456179,0.0128688706456623,0.9997781229199024,0.9865209673840692,0.9758153982693588,0.9982249833592188,0.9778122919902374,0.9840803195029952,0.9896827157754604,0.9938983802973153,0.3447415132016863,0.3293765254049257,0.9592855558020856,0.8684268915021078,0.0007765697803416,0.0960173064122476,0.7758486798313734,0.6549256711781672,0.2350787663634346,0.0447082316396716,0.1473263811848236,1258705,12.0,12.0,96.0,8.0,1.0,7468000,7729456,1.035010176754151
Jammu and Kashmir,205.4105449115649,162.0,150.63501760657817,0.865197014407221,0.0986287102933518,0.3959729213678181,0.0116993577503905,0.9736156917201876,0.7656309668460337,0.7876410345426141,0.9530637042180176,0.7294219753515014,0.8237458774518313,0.8855059885436556,0.9626800902621072,0.2973789272695712,0.1188335358444714,0.7217844124283979,0.6181565700399236,0.0005554591216802,0.021211595209165,0.3934733553202569,0.1485853150494706,0.0429092171498003,0.0896719319562576,0.0968234681478909,1106745,22.0,0.0,0.0,0.0,0.0,13603000,11676416,0.858370653532309
Jharkhand,207.9150655466093,157.0,160.3647562944492,0.9658232081150372,0.0615761899453795,0.2842715416341545,0.0188161854865678,0.9827666926764016,0.9524690669936462,0.9443094415338312,0.9587559915282576,0.9209229740274216,0.9650429160628692,0.9837030431390036,0.91450228514101,0.372890424701817,0.1920856091851521,0.9390034555790882,0.7115148812841378,0.0008471742280682,0.2030096979155055,0.6421357708170773,0.370750195073013,0.0519451566157619,0.071675398506298,0.0541522684204659,3700486,24.0,24.0,32.0,1.3333333333333333,1.0,39466000,35730236,0.9053422186185578
Karnataka,219.4666710848963,166.0,161.70002142894165,0.9456769130150424,0.115251798561151,0.8372531066056246,0.0370176586003924,0.9971223021582734,0.9906605624591236,0.9339829954218444,0.9803793328973184,0.9858731196860692,0.9725179856115108,0.9799607586657948,0.8933551340745586,0.2954872465663832,0.3253891432308698,0.9637410071942446,0.8127926749509483,0.0003662524525833,0.3400784826684107,0.7041726618705036,0.5851536952256376,0.1703989535644212,0.1284107259646828,0.1064355788096795,11307920,31.0,31.0,798.0,25.741935483870968,1.0,67692000,64510025,0.9529933374697158
Kerala,235.69774441517197,181.0,168.39886866180183,0.9792487684729064,0.8360837438423645,0.6802339901477833,0.0740763546798029,0.9986453201970444,0.9956896551724138,0.9767857142857144,0.996551724137931,0.9951970443349754,0.9903940886699508,0.9920566502463054,0.992179802955665,0.951908866995074,0.583435960591133,0.9844211822660098,0.8798645320197044,0.0014778325123152,0.2906403940886699,0.7804802955665024,0.6092980295566502,0.2554802955665025,0.0682266009852216,0.8317733990147783,4740237,14.0,14.0,45.0,3.2142857142857144,1.0,35776000,37204366,1.039925257155635
Ladakh,166.48531468531468,137.0,110.59067661076669,0.9519427402862984,0.1625766871165644,0.4437627811860941,0.0408997955010225,0.994887525562372,0.9335378323108384,0.9294478527607362,0.9171779141104296,0.9222903885480572,0.8987730061349694,0.911042944785276,0.6349693251533742,0.4274028629856851,0.1881390593047034,0.9754601226993864,0.7648261758691206,0.0102249488752556,0.0102249488752556,0.787321063394683,0.3128834355828221,0.2402862985685071,0.1574642126789366,0.1615541922290388,3016,,,,,,300000,238896,0.79632
Lakshadweep Islands,150.11976047904193,115.0,124.82425247026939,1.0,0.7894736842105263,1.0,0.0789473684210526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,0.8947368421052632,1.0,0.9736842105263158,0.4473684210526316,0.4736842105263157,0.9473684210526316,0.7631578947368421,0.6052631578947368,0.0263157894736842,0.7894736842105263,3567,1.0,1.0,38.0,38.0,1.0,69000,73546,1.0658840579710145
Madhya Pradesh,174.26431291848394,121.0,145.3881491812303,0.9613001863324362,0.0274004236275899,0.4091032154289628,0.0207911961905368,0.9842095204726792,0.7711375834116354,0.927879791689892,0.9414884298705228,0.7484432482362122,0.9478428437196412,0.9741682725231324,0.9298705228456308,0.2752146008185887,0.1466452198563488,0.9481772865538056,0.8051153827777866,0.0002149989648197,0.1434361612332977,0.8028539121848672,0.3816868659521269,0.1023713589527161,0.0443694159991081,0.0258795050246054,11106142,52.0,52.0,313.0,6.019230769230769,1.0,86579000,77592017,0.8961990436479977
